Branch,Component,Gender,hip_height,neck_height,chest_circumference,chest_height,foot_length,functional_leg_length,hand_length,shoulder_circumference,sitting_height,span,waist_circumference,waist_depth,weight_kg,height_m
Combat Support,Regular Army,Female,1282,1336,922,1095,246,1028,184,1062,803,1647,850,217,65.7,1.56
Combat Service Support,Regular Army,Female,1379,1440,839,1234,249,1117,189,1014,835,1751,708,168,53.4,1.665
Combat Service Support,Regular Army,Female,1369,1451,874,1226,265,1060,195,1049,904,1779,727,159,66.3,1.711
Combat Service Support,Regular Army,Female,1356,1430,1008,1170,265,1069,186,1121,875,1708,923,235,78.2,1.66
Combat Arms,Regular Army,Female,1303,1362,1089,1112,247,1039,187,1151,824,1702,1163,300,88.6,1.572
Combat Service Support,Regular Army,Female,1428,1485,1031,1275,270,1145,198,1094,860,1777,968,255,83.7,1.707
Combat Service Support,Regular Army,Female,1352,1405,988,1184,241,1094,167,1072,876,1608,964,258,73.2,1.644
Combat Service Support,Regular Army,Female,1383,1428,968,1190,255,1081,177,1066,881,1701,914,220,76,1.671
Combat Service Support,Regular Army,Female,1237,1293,831,1083,234,1014,174,994,797,1605,755,199,54.5,1.521
Combat Service Support,Regular Army,Female,1301,1360,1010,1075,245,980,175,985,857,1540,944,233,68.4,1.59
Combat Service Support,Regular Army,Female,1395,1462,1065,1205,270,1117,210,1174,902,1833,935,240,99,1.707
Combat Service Support,Regular Army,Female,1360,1425,1034,1218,260,1101,186,1110,873,1774,942,248,74.2,1.668
Combat Service Support,Regular Army,Female,1368,1417,1063,1201,234,1105,178,1145,862,1722,995,244,78.1,1.654
Combat Service Support,Regular Army,Female,1368,1430,937,1189,263,1054,190,1151,874,1798,848,200,71.8,1.666
Combat Service Support,Regular Army,Female,1315,1379,989,1164,238,1052,178,1116,834,1690,929,244,70.9,1.599
Combat Support,Regular Army,Female,1371,1429,940,1212,249,1054,177,1013,883,1657,835,217,67.2,1.673
Combat Service Support,Regular Army,Female,1337,1408,835,1171,257,998,187,1055,899,1687,772,185,62,1.647
Combat Support,Regular Army,Female,1387,1440,897,1228,256,1086,186,967,871,1670,805,200,59.5,1.678
Combat Service Support,Regular Army,Female,1374,1422,979,1211,253,1099,187,1128,853,1797,868,214,74.1,1.679
Combat Service Support,Regular Army,Female,1309,1375,853,1166,235,983,175,1011,886,1603,792,178,60.5,1.615
Combat Support,Regular Army,Female,1239,1280,1090,1055,233,1024,169,1119,830,1539,1137,318,80,1.517
Combat Support,Regular Army,Female,1356,1423,941,1219,250,1079,184,1095,852,1782,881,218,74.7,1.674
Combat Support,Regular Army,Female,1335,1388,857,1164,231,1011,174,919,863,1602,702,165,49.1,1.623
Combat Support,Regular Army,Female,1382,1437,973,1194,251,1063,175,1064,880,1646,954,249,70.3,1.668
Combat Service Support,Regular Army,Female,1361,1438,975,1197,258,1096,195,1066,825,1763,796,198,71.5,1.644
Combat Service Support,Regular Army,Female,1290,1366,1026,1120,242,1071,177,1087,810,1595,1000,266,70.8,1.579
Combat Service Support,Regular Army,Female,1146,1208,832,1000,223,835,155,954,854,1323,742,188,48.8,1.446
Combat Support,Regular Army,Female,1343,1404,921,1191,236,1093,173,1017,867,1639,912,222,69.1,1.62
Combat Service Support,Regular Army,Female,1386,1440,1032,1229,251,1090,182,1077,883,1687,913,219,73,1.684
Combat Support,Regular Army,Female,1330,1380,904,1160,258,1075,194,1021,833,1754,821,198,61,1.619
Combat Service Support,Regular Army,Female,1303,1331,951,1161,246,1028,184,1042,856,1624,930,225,65.8,1.592
Combat Support,Regular Army,Female,1368,1415,950,1196,252,1076,183,1010,893,1625,901,223,70.9,1.655
Combat Support,Regular Army,Female,1416,1474,965,1230,269,1130,191,1052,899,1726,935,233,72.8,1.723
Combat Service Support,Regular Army,Female,1385,1457,1115,1166,245,1114,186,1130,871,1678,1077,290,84.6,1.677
Combat Support,Regular Army,Female,1375,1424,1170,1155,246,1121,186,1115,880,1619,1112,290,94.5,1.654
Combat Support,Regular Army,Female,1347,1404,895,1174,238,1101,180,1039,851,1705,812,188,62.7,1.634
Combat Support,Regular Army,Female,1393,1452,944,1234,251,1160,183,1020,814,1805,869,230,57.8,1.683
Combat Support,Regular Army,Female,1270,1342,833,1115,234,1017,185,982,811,1660,712,178,52.4,1.552
Combat Service Support,Regular Army,Female,1341,1383,1025,1142,237,1088,177,1098,836,1612,1057,292,73.2,1.617
Combat Support,Regular Army,Female,1309,1365,982,1165,249,1083,180,1050,855,1544,964,254,79.1,1.588
Combat Support,Regular Army,Female,1355,1406,1060,1169,248,1138,172,1133,879,1609,1134,320,89.4,1.641
Combat Support,Regular Army,Female,1375,1430,991,1199,259,1088,186,1036,893,1694,869,224,68.9,1.685
Combat Support,Regular Army,Female,1333,1424,994,1217,247,1051,174,1061,889,1650,942,240,75.8,1.656
Combat Support,Regular Army,Female,1319,1371,1071,1127,255,1076,184,1092,853,1628,1019,265,73.1,1.603
Combat Service Support,Regular Army,Female,1304,1377,945,1143,250,999,188,1071,889,1669,865,212,74.8,1.608
Combat Service Support,Regular Army,Female,1356,1419,1094,1211,250,1072,184,1122,880,1682,975,245,80.6,1.664
Combat Support,Regular Army,Female,1333,1388,932,1165,244,1121,190,1108,831,1746,814,211,71.4,1.619
Combat Support,Regular Army,Female,1350,1405,1013,1188,252,1114,193,1121,808,1769,947,252,71.2,1.62
Combat Support,Regular Army,Female,1405,1475,910,1253,257,1132,185,1032,870,1743,794,184,65.7,1.72
Combat Support,Regular Army,Female,1300,1352,793,1174,257,1023,176,954,836,1572,679,168,47.7,1.582
Combat Support,Regular Army,Female,1408,1490,954,1219,244,1109,181,1084,909,1709,890,216,69.6,1.72
Combat Support,Regular Army,Female,1416,1475,1161,1221,256,1172,188,1146,921,1689,1334,360,119.6,1.72
Combat Service Support,Regular Army,Female,1407,1460,1135,1235,269,1163,195,1130,883,1782,1076,269,88.7,1.701
Combat Service Support,Regular Army,Female,1314,1366,1095,1168,238,1019,180,1082,882,1586,1007,266,75.4,1.627
Combat Support,Regular Army,Female,1238,1312,1014,1111,229,1020,164,1092,851,1515,897,219,67.8,1.536
Combat Service Support,Regular Army,Female,1247,1308,946,1079,233,1018,166,1077,845,1586,832,208,60.7,1.546
Combat Support,Regular Army,Female,1334,1407,814,1200,243,1099,176,970,865,1686,766,180,57.2,1.654
Combat Service Support,Regular Army,Female,1316,1377,940,1196,247,1078,175,1096,861,1664,878,218,68.9,1.605
Combat Service Support,Regular Army,Female,1316,1381,988,1170,242,1032,178,1072,863,1678,943,226,71.2,1.63
Combat Service Support,Regular Army,Female,1300,1368,904,1147,230,1045,174,1024,868,1619,825,186,60.4,1.612
Combat Service Support,Regular Army,Female,1467,1510,876,1323,272,1157,201,1038,857,1849,812,203,69.7,1.757
Combat Service Support,Regular Army,Female,1391,1427,1090,1226,258,1104,189,1105,871,1778,1062,260,85.4,1.67
Combat Service Support,Regular Army,Female,1335,1390,943,1174,220,1056,162,926,878,1586,914,217,61.7,1.632
Combat Service Support,Regular Army,Female,1343,1401,1132,1165,250,1063,185,1105,868,1701,987,230,79,1.635
Combat Service Support,Regular Army,Female,1358,1442,977,1185,257,1047,187,1050,918,1704,868,203,67.2,1.682
Combat Service Support,Regular Army,Female,1383,1431,977,1215,250,1097,180,1021,875,1674,839,214,69.5,1.661
Combat Service Support,Regular Army,Female,1319,1374,1006,1160,243,1029,171,1035,849,1629,814,199,66.9,1.596
Combat Service Support,Regular Army,Female,1321,1370,936,1119,235,1037,173,1033,846,1631,804,187,57.4,1.596
Combat Service Support,Regular Army,Female,1372,1426,1065,1178,262,1084,188,1154,885,1730,925,219,81.5,1.665
Combat Support,Regular Army,Female,1316,1396,890,1160,248,1069,177,1021,843,1652,805,185,61.8,1.617
Combat Service Support,Regular Army,Female,1274,1328,900,1117,244,1040,180,1057,786,1676,811,198,64.5,1.555
Combat Support,Regular Army,Female,1281,1342,862,1113,226,994,167,954,858,1535,757,191,55.7,1.578
Combat Support,Regular Army,Female,1293,1350,896,1122,247,990,178,990,872,1626,839,204,61.4,1.581
Combat Service Support,Regular Army,Female,1372,1459,943,1197,257,1055,184,1037,915,1719,821,202,66.8,1.698
Combat Service Support,Regular Army,Female,1273,1321,1092,1101,230,991,167,1084,843,1586,1001,275,73,1.554
Combat Service Support,Regular Army,Female,1455,1500,920,1273,253,1135,193,1046,924,1756,860,211,73.7,1.756
Combat Service Support,Regular Army,Female,1299,1335,1071,1104,238,1009,178,1094,865,1590,922,245,69.3,1.566
Combat Support,Regular Army,Female,1350,1407,1001,1168,259,1089,187,1055,838,1714,1012,289,75.7,1.651
Combat Support,Regular Army,Female,1300,1337,1126,1133,240,1045,174,1120,869,1635,981,246,74,1.585
Combat Service Support,Regular Army,Female,1360,1422,982,1193,254,1098,182,1025,868,1701,870,204,68.2,1.657
Combat Support,Regular Army,Female,1419,1473,1069,1221,265,1125,189,1155,928,1784,931,221,86.7,1.719
Combat Service Support,Regular Army,Female,1508,1580,1061,1328,267,1197,197,1137,925,1852,895,216,88.2,1.822
Combat Support,Regular Army,Female,1375,1415,1031,1159,253,1086,186,1082,872,1738,925,235,78.6,1.649
Combat Service Support,Regular Army,Female,1376,1450,924,1225,253,1123,187,1077,897,1696,751,187,62.2,1.687
Combat Service Support,Regular Army,Female,1412,1462,999,1196,254,1082,190,1072,887,1757,1019,257,78.2,1.698
Combat Arms,Regular Army,Female,1222,1302,865,1067,238,1010,175,974,811,1603,784,200,60.8,1.53
Combat Support,Regular Army,Female,1317,1348,998,1111,243,1040,179,1067,861,1608,917,198,67.4,1.581
Combat Support,Regular Army,Female,1328,1380,930,1185,242,1105,180,1084,800,1731,865,209,68.6,1.609
Combat Service Support,Regular Army,Female,1348,1415,934,1166,259,1038,187,1039,870,1745,847,210,67,1.644
Combat Service Support,Regular Army,Female,1244,1317,856,1129,238,1022,184,1010,799,1694,785,205,63.5,1.548
