Engine Temperature (C),Oil Pressure (psi),Vibration Level (mm/s),Mileage Since Service (km),Brake Wear (%),Battery Voltage (V),Fuel Efficiency (km/L),Driving Condition,Vehicle Type,Service Plan,Maintenance Priority
101.4,30.6,5.82,21110,107.7,12.64,12.9,Off-road,Sedan,Basic,Critical
101.7,26.5,5.32,18749,113.3,12.37,6.5,City,Truck,Basic,Critical
82.0,30.2,6.39,16351,83.2,12.12,8.6,City,Van,Standard,Urgent
101.0,38.3,5.7,24231,126.2,12.01,14.5,Mixed,Sedan,Basic,Critical
86.0,46.7,2.86,11399,58.1,12.54,17.1,Highway,Sedan,Premium,Routine
101.0,29.2,6.14,19025,101.3,12.29,13.5,City,Sedan,Premium,Urgent
97.7,32.2,6.54,18763,103.8,11.99,8.9,Mixed,Van,Standard,Critical
94.3,38.0,7.36,16505,138.8,12.43,7.8,City,Truck,Basic,Critical
83.7,33.0,2.94,14238,67.3,12.13,12.5,Highway,SUV,Basic,Routine
85.6,41.5,5.81,40367,76.1,11.98,10.3,Highway,Van,Basic,Critical
88.6,39.6,5.43,15294,79.0,12.43,14.8,Mixed,Sedan,Basic,Monitor
100.0,30.0,6.4,16598,85.1,11.86,7.3,Mixed,Truck,Premium,Critical
91.9,41.6,4.14,15724,78.5,11.79,10.3,City,SUV,Premium,Monitor
95.8,38.1,5.31,16834,91.9,12.41,11.9,City,SUV,Standard,Urgent
93.4,33.7,3.9,5097,36.0,12.53,12.5,Highway,SUV,Basic,Routine
97.2,37.3,5.94,18995,106.7,12.3,11.2,City,SUV,Basic,Critical
86.5,39.1,15.05,7039,58.2,12.53,15.2,City,Sedan,VIP,Urgent
81.1,37.0,6.82,22541,118.2,12.0,14.4,Mixed,Sedan,Basic,Critical
85.6,39.9,5.16,23386,110.0,12.14,15.5,Mixed,Sedan,Standard,Urgent
93.3,42.0,2.73,7856,37.4,12.75,8.3,Highway,Truck,Standard,Routine
96.2,33.5,4.15,10677,61.5,12.66,8.8,Highway,Truck,Premium,Routine
91.8,28.3,4.66,14428,85.1,12.54,10.8,Mixed,SUV,Basic,Urgent
88.4,44.6,1.94,12947,68.1,12.34,12.6,Highway,SUV,VIP,Routine
90.3,13.0,8.18,26881,128.4,12.27,9.0,Mixed,SUV,Standard,Critical
90.5,32.3,7.32,20635,115.2,12.66,14.9,Mixed,Sedan,Premium,Critical
93.3,37.8,5.7,17337,80.2,12.21,15.4,City,Sedan,Basic,Monitor
95.0,30.1,6.11,14743,76.5,12.24,11.1,City,SUV,Premium,Urgent
90.5,35.4,6.83,25491,116.9,12.36,13.6,Mixed,Sedan,Basic,Critical
84.9,42.8,4.62,11892,67.0,12.35,10.5,City,Van,Premium,Routine
99.4,37.9,6.46,17419,92.2,12.47,11.0,City,SUV,Standard,Urgent
84.5,42.7,6.18,12281,62.4,12.13,9.5,City,Truck,Standard,Monitor
92.5,49.9,2.1,4177,33.6,12.57,10.2,Highway,Van,Standard,Routine
91.6,40.8,4.15,17286,99.8,11.9,14.4,City,Sedan,Basic,Monitor
89.1,52.0,4.63,13561,69.3,12.0,17.1,Highway,Sedan,Standard,Routine
83.9,41.7,5.19,16926,83.0,12.66,10.7,Highway,SUV,Standard,Routine
98.6,36.0,6.06,6854,54.9,12.19,8.0,City,Truck,Basic,Urgent
86.3,31.8,7.47,19721,112.4,11.91,9.0,City,Truck,Standard,Critical
92.2,44.0,4.15,12018,65.1,12.71,9.2,Highway,Truck,Basic,Routine
105.5,37.2,5.76,16173,88.0,12.18,15.4,City,Sedan,Basic,Urgent
86.1,38.7,4.1,12624,64.9,12.15,10.6,Highway,SUV,Standard,Routine
79.2,39.1,15.61,9701,58.3,12.83,9.2,Highway,Truck,Standard,Urgent
97.6,33.8,5.42,16563,88.0,12.27,15.8,City,Sedan,Basic,Urgent
89.2,41.2,4.3,11102,63.0,12.5,10.5,Highway,Truck,Premium,Routine
87.5,32.7,7.22,12537,68.4,12.28,14.6,City,Sedan,Standard,Monitor
86.6,31.1,4.39,12294,70.8,12.27,16.4,Highway,Sedan,Basic,Routine
97.1,40.6,7.23,12067,71.2,12.26,7.6,City,Truck,Basic,Urgent
81.9,34.6,3.46,13834,65.0,12.52,16.9,Highway,Sedan,Standard,Routine
88.3,35.0,6.41,16323,95.7,12.0,13.1,Mixed,Sedan,Basic,Urgent
91.7,36.2,6.62,12100,65.6,12.59,14.1,City,Sedan,Premium,Routine
92.7,38.4,5.68,13567,74.8,12.56,13.7,City,Sedan,Premium,Routine
101.5,33.4,5.49,14248,82.8,12.4,10.7,City,SUV,Basic,Urgent
83.3,39.1,4.14,8609,41.6,12.55,15.5,Highway,Sedan,Standard,Routine
95.6,28.1,8.09,29348,148.0,12.12,10.7,Off-road,SUV,Premium,Critical
90.8,39.3,6.49,14184,75.8,12.41,11.7,City,SUV,Premium,Monitor
90.8,37.7,4.28,16086,74.1,12.72,13.5,City,Sedan,Basic,Routine
87.3,42.5,7.32,19691,99.4,12.3,6.0,Mixed,Truck,Standard,Critical
96.4,32.6,4.82,16267,84.0,12.19,11.7,Highway,SUV,Basic,Monitor
101.7,39.6,4.85,9100,55.3,12.5,8.9,Highway,Truck,Basic,Routine
97.8,43.2,6.96,12471,71.9,12.31,6.7,Mixed,Truck,Standard,Urgent
99.5,36.2,7.32,19116,108.3,11.98,8.0,Mixed,Van,Basic,Critical
89.0,30.5,6.32,16677,82.4,12.27,7.7,Mixed,Van,Basic,Critical
89.7,37.2,5.93,19905,95.3,12.3,9.7,City,Van,Standard,Urgent
100.3,40.7,5.9,14129,76.3,12.11,11.9,City,SUV,Standard,Monitor
101.9,38.4,5.79,19282,100.5,12.47,10.7,City,SUV,Basic,Urgent
90.4,40.2,4.91,10930,62.0,11.87,11.2,Highway,SUV,Premium,Routine
98.8,29.0,7.5,25899,138.5,12.26,13.0,Off-road,Sedan,Standard,Critical
92.3,40.4,4.51,8159,46.7,12.26,11.3,Highway,SUV,Standard,Routine
94.4,28.8,6.39,15174,82.4,12.41,7.1,Mixed,Truck,Basic,Critical
102.5,36.0,7.24,21204,106.6,12.27,10.1,Mixed,SUV,Standard,Critical
95.1,38.1,3.24,6390,42.8,12.38,15.5,Highway,Sedan,Standard,Routine
102.1,37.2,7.0,13606,80.7,12.57,8.6,City,Van,Premium,Urgent
86.0,40.8,4.63,14109,69.4,12.2,17.0,Highway,Sedan,Standard,Routine
